MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
31.220642,-43.100677,-176.120117,-0.126345,0.049283,0.008443,-0.001785,-0.090088,-0.981613,0.355452,1455416018.457274
32.087891,-42.925476,-174.257309,-0.131202,0.084050,-0.025452,-0.021057,-0.068497,-0.971588,0.355729,1455416018.507380
32.434784,-44.327133,-175.950775,-0.043960,0.034749,-0.059873,0.011414,-0.036087,-1.011292,0.355743,1455416018.577307
32.608231,-42.750275,-174.087967,0.035415,0.002805,-0.036823,0.012390,-0.085480,-0.982819,0.355861,1455416018.637197
32.087891,-43.275894,-175.612076,0.061024,-0.018630,-0.059006,-0.002106,-0.045731,-0.903793,0.355942,1455416018.707258
30.353409,-42.575073,-174.934692,0.147827,-0.295922,-0.283123,-0.060913,0.003250,-0.819305,0.355945,1455416018.777363
31.740997,-42.224655,-175.950775,0.367473,-0.370624,-0.398128,-0.034637,0.013199,-0.889664,0.356663,1455416018.837277
30.006516,-46.079193,-174.257309,0.170422,0.260924,-0.024178,-0.131592,-0.197006,-1.313858,0.357305,1455416018.907503
32.608231,-46.254395,-175.442734,-0.527806,-0.845182,-0.738792,-0.124268,-0.251251,-1.697235,0.355623,1455416018.977341
31.914444,-43.801514,-174.426651,-2.266200,0.472765,-0.006816,0.053848,-0.113953,-1.489441,0.355300,1455416019.037336
31.220642,-38.895737,-173.410583,-2.557660,0.847601,-0.877152,-0.029633,0.427048,-0.760986,0.361149,1455416019.107293
31.047195,-39.771774,-173.579926,0.202602,-0.215973,-0.668257,0.090698,0.120682,-0.463242,0.357102,1455416019.177328
31.047195,-41.173416,-174.595993,0.671167,-0.267358,-0.307895,0.160507,0.015198,-0.432404,0.351731,1455416019.237337
30.353409,-42.925476,-175.612076,1.129603,-0.012585,0.033967,0.087357,-0.006241,-0.391388,0.358878,1455416019.307319
29.139267,-43.801514,-174.426651,1.781794,-0.278137,-0.169860,0.032150,0.100189,-0.279495,0.366622,1455416019.377334
29.833069,-46.955215,-175.781418,0.968685,1.407614,-0.510508,0.228073,-0.200165,-1.247940,0.368847,1455416019.437153
32.781677,-46.429596,-175.612076,-2.497223,1.613565,-0.702713,0.443497,0.214584,-3.175919,0.365000,1455416019.508255
31.567551,-45.903976,-175.442734,-3.094174,0.853142,-0.666125,-0.030334,0.158905,-1.574753,0.362396,1455416019.577327
31.394089,-43.976715,-175.612076,-0.096239,-0.804862,-0.475123,0.177261,0.344513,-0.916794,0.364205,1455416019.636591
30.006516,-45.728775,-173.918610,0.522120,-0.746737,0.194016,-0.059357,0.004150,-0.291260,0.363419,1455416019.707209
31.047195,-46.780014,-176.289459,0.737709,-0.342835,0.185036,-0.052994,-0.042191,-0.021820,0.364806,1455416019.777279
31.394089,-45.378357,-174.934692,1.090021,-0.274358,0.168146,0.012527,0.092651,-0.249954,0.366670,1455416019.837295
31.567551,-48.707275,-174.426651,0.341949,0.589812,0.465973,0.064285,-0.242523,-1.591202,0.368599,1455416019.907229
32.261337,-47.305634,-176.120117,-0.738694,-0.484692,-0.503875,0.359573,-0.433029,-2.899170,0.367699,1455416019.977291
32.087891,-46.429596,-174.257309,-2.501401,1.303848,-0.751428,0.154312,0.003159,-1.776611,0.367162,1455416020.037282
34.516159,-43.275894,-176.289459,0.309915,0.599659,0.003896,0.424683,0.278473,-0.955582,0.361825,1455416020.107191
32.434784,-45.728775,-177.305542,0.920573,0.099808,0.412124,0.057846,0.094574,-0.329788,0.349513,1455416020.177291
33.302032,-48.006454,-176.120117,1.071544,-0.299782,0.322064,-0.055664,0.105652,-0.028641,0.356777,1455416020.237288
34.169266,-49.232895,-174.595993,1.041837,-0.063949,0.559346,0.066589,0.081436,-0.046219,0.359201,1455416020.307280
32.434784,-49.232895,-175.273392,-0.821534,0.838465,0.539435,-0.069275,0.129059,-0.128876,0.362994,1455416020.377370
33.995819,-48.006454,-176.120117,-2.215704,1.489554,-0.868386,-0.338318,-0.732834,-1.833511,0.363578,1455416020.437234
35.383408,-45.903976,-175.781418,-3.103316,1.742789,-0.251269,0.076050,-0.658096,-1.999130,0.356168,1455416020.507314
35.383408,-41.348618,-174.087967,-0.475924,-1.008413,-1.042421,0.141312,0.394485,-1.060440,0.342190,1455416020.577297
34.516159,-41.523834,-173.918610,0.246352,0.071546,0.067051,0.149658,0.073868,-0.389587,0.334705,1455416020.637283
34.516159,-42.575073,-174.934692,0.610224,-0.316327,-0.051389,0.039734,0.061386,-0.122559,0.335419,1455416020.707250
32.608231,-43.451096,-175.442734,0.544166,-0.290721,0.100169,0.122208,-0.002640,-0.131180,0.341112,1455416020.777278
32.608231,-46.955215,-175.104034,0.884148,-0.304148,0.355033,-0.062607,0.010132,-0.164429,0.343673,1455416020.837292
33.648926,-44.151917,-174.087967,0.655000,0.287598,0.127224,0.070282,-0.616028,-1.935135,0.343460,1455416020.907232
35.036499,-44.852737,-174.765350,-0.267909,-0.562965,-0.530944,0.379700,-0.531998,-2.445755,0.340729,1455416020.977277
35.209961,-43.626297,-174.595993,-2.722672,0.602487,-0.371892,0.401199,0.679703,-2.086395,0.339396,1455416021.037295
34.342712,-42.049454,-175.781418,-0.673980,0.368375,0.196748,0.119431,0.311630,-0.586609,0.337082,1455416021.107255
32.955124,-41.699036,-173.071884,1.011663,-0.346073,0.338135,0.007080,0.121170,-0.053375,0.336017,1455416021.177301
33.648926,-40.647797,-175.104034,0.474054,-0.333291,0.193818,0.045959,0.136246,0.009949,0.336437,1455416021.237310
33.475479,-43.626297,-173.918610,0.427551,-0.168002,0.491136,-0.064240,-0.035400,-0.091965,0.338499,1455416021.307260
33.995819,-43.801514,-174.087967,0.947638,-0.358404,0.359682,-0.050888,0.056808,-1.066010,0.339506,1455416021.367484
32.781677,-45.728775,-174.257309,0.652375,-0.428086,-0.430364,0.239227,-0.433472,-2.458466,0.339646,1455416021.437384
34.863052,-44.677536,-173.918610,-3.444649,1.305300,-0.103462,0.102325,0.384598,-1.849335,0.340848,1455416021.507258
32.955124,-42.049454,-174.426651,-0.677892,-0.908573,-0.143964,-0.062531,0.351547,-0.818726,0.340178,1455416021.567276
34.169266,-41.874237,-174.595993,0.175152,-0.803283,0.092934,0.106094,0.069397,-0.666809,0.334970,1455416021.637292
33.475479,-42.224655,-173.918610,0.747838,0.542939,0.340471,-0.038864,-0.147781,-0.304626,0.332320,1455416021.707274
32.434784,-44.327133,-173.918610,1.225757,-0.821925,-0.200675,-0.080902,-0.015656,-0.253754,0.336483,1455416021.767294
29.833069,-45.553574,-172.733185,0.913197,-1.022430,-0.421396,0.047150,0.108505,-0.194305,0.341790,1455416021.837304
32.261337,-46.604813,-174.087967,0.156369,0.273632,0.130019,-0.185852,-0.343231,-1.400497,0.347928,1455416021.907289
31.740997,-45.378357,-173.579926,-0.839896,0.522883,-1.405518,-0.011963,-0.700226,-2.221283,0.349351,1455416021.977281
34.169266,-43.626297,-173.918610,-2.998083,0.475013,-0.910956,0.459671,0.539703,-2.419205,0.344414,1455416022.037273
33.822372,-42.925476,-173.579926,-0.411401,1.300965,-0.287339,0.288986,0.243332,-0.875839,0.334326,1455416022.107289
31.220642,-43.801514,-175.104034,1.497263,-1.060445,0.108461,0.093643,0.113205,-0.121201,0.332668,1455416022.167272
31.394089,-45.378357,-173.918610,1.054653,-0.648543,0.127204,0.155807,0.079956,-0.090576,0.338156,1455416022.237310
32.261337,-47.305634,-175.104034,0.295322,1.743032,0.324448,0.129501,-0.109100,-0.147552,0.343525,1455416022.307298
32.955124,-48.356873,-174.087967,0.854105,-0.025260,0.531921,0.010056,-0.133316,-0.830231,0.343931,1455416022.367460
33.822372,-48.181656,-174.257309,0.141430,0.472834,0.119337,-0.388000,-0.612122,-1.745316,0.341664,1455416022.437324
33.475479,-46.079193,-174.257309,-3.707315,1.363851,-0.544447,0.026672,0.310196,-2.382019,0.344735,1455416022.507256
31.047195,-42.925476,-172.902542,-0.858571,0.290180,-0.369723,0.087128,0.292404,-0.984070,0.340559,1455416022.567288
32.087891,-41.874237,-172.563843,0.962544,-1.377334,-0.052690,0.051163,0.089523,-0.447754,0.335223,1455416022.637296
31.394089,-45.378357,-172.225159,0.771954,-0.043535,-0.047931,0.056778,0.037384,-0.034729,0.335903,1455416022.707319
29.139267,-44.151917,-175.781418,0.914126,0.249570,0.135244,0.108994,0.107605,-0.063370,0.342299,1455416022.767297
31.394089,-47.831253,-173.918610,0.979495,-0.480774,0.299726,-0.065521,0.023804,-0.285126,0.346854,1455416022.837289
32.087891,-48.882477,-173.241226,0.443332,0.367190,0.183828,-0.398132,-0.637451,-1.946350,0.349293,1455416022.907318
31.914444,-49.758514,-174.087967,0.033288,-0.941059,-0.648970,0.464630,-0.932877,-2.259628,0.348908,1455416022.967196
