MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
58.798889,-55.890717,-204.062256,0.002880,0.323163,0.324356,0.025116,-0.134888,-1.261292,0.301149,1455415731.969273
59.492691,-57.292374,-206.094406,0.563125,-0.255855,0.259127,-0.008301,0.092361,-1.173035,0.301712,1455415732.069113
54.462692,-60.621292,-206.602448,-0.077701,0.260081,0.026213,-0.024490,-0.160736,-0.825455,0.301834,1455415732.169029
57.064407,-59.745255,-205.078323,-0.620002,0.073596,-0.292780,-0.034241,-0.026245,-0.873947,0.302285,1455415732.268917
57.237854,-55.715515,-206.941132,-0.436262,-0.082504,-0.235246,0.005905,-0.086044,-0.934158,0.301097,1455415732.368955
57.237854,-53.963455,-207.279831,-0.277485,0.177088,-0.144651,-0.056915,-0.094803,-1.002243,0.299175,1455415732.469002
58.451996,-56.241135,-207.787872,-0.002144,0.038576,-0.098745,-0.057953,-0.007034,-1.251434,0.298449,1455415732.568984
55.503387,-55.715515,-208.634598,0.434570,-0.249769,-0.349831,-0.072922,0.219009,-1.314850,0.299442,1455415732.668992
54.983032,-58.343613,-206.771790,0.072578,0.449576,-0.404002,-0.084015,0.057022,-0.644592,0.299918,1455415732.769015
56.370621,-59.394836,-206.771790,-0.636178,0.487981,-0.292612,0.075348,-0.107941,-0.724106,0.301155,1455415732.869029
56.023727,-56.241135,-206.433105,-0.684077,0.297847,0.099388,-0.008118,0.022476,-1.126556,0.301336,1455415732.969003
54.809586,-57.117172,-207.618530,0.150906,-0.130544,0.057316,-0.111115,-0.147507,-1.032394,0.299890,1455415733.069019
56.023727,-60.095673,-206.094406,0.093084,0.138202,0.124238,0.012772,-0.089966,-1.224533,0.299380,1455415733.168996
57.237854,-59.219635,-205.247681,0.063376,-0.262841,0.030000,0.143951,0.398331,-1.487045,0.300542,1455415733.269049
52.034424,-64.826233,-202.876831,-0.039623,0.122640,0.097110,0.064072,-0.119614,-0.572189,0.300254,1455415733.368979
52.728210,-62.723755,-203.554214,-0.498377,0.381367,0.179658,0.046173,0.082123,-0.904465,0.301157,1455415733.468995
50.473389,-61.847733,-203.046173,-0.205043,0.015311,0.115879,-0.029938,-0.094009,-1.005249,0.300386,1455415733.568976
49.606140,-62.022934,-201.522064,0.020502,-0.077642,-0.196008,-0.075684,-0.054123,-1.145203,0.299322,1455415733.669003
49.085800,-63.249374,-201.691406,0.257883,-0.160394,-0.398108,-0.040146,0.002563,-1.222717,0.299128,1455415733.768999
49.085800,-61.146896,-201.352707,0.096102,-0.698726,-0.171205,-0.035400,0.387543,-1.016876,0.300759,1455415733.868711
46.830978,-62.022934,-201.183365,0.065745,-0.102434,-0.397805,-0.103134,0.019211,-0.670853,0.301045,1455415733.968988
48.392014,-60.796494,-200.675323,-0.725531,0.207907,-0.068665,0.154266,-0.041702,-0.879135,0.303683,1455415734.069013
