MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
72.327850,-66.052673,-173.241226,-0.205106,-0.081396,0.072740,0.033844,-0.083374,-1.019440,0.289945,1455415914.905547
70.766815,-66.578293,-171.717117,-0.060843,-0.024034,0.016193,0.040985,-0.057434,-1.000122,0.289571,1455415914.962891
70.766815,-67.279114,-173.071884,-0.235430,0.038216,0.198664,-0.013290,-0.032074,-0.937347,0.288954,1455415915.032651
69.205780,-67.454315,-172.902542,-0.330395,-0.237038,-0.145598,0.041214,-0.070694,-0.996979,0.288117,1455415915.102756
68.511993,-65.001434,-171.547760,-0.227663,-0.146779,-0.055586,0.004013,-0.122452,-1.017334,0.287217,1455415915.162882
69.726120,-64.826233,-172.733185,-0.044645,0.074875,-0.081984,0.014862,-0.110336,-1.015793,0.286370,1455415915.232769
68.165085,-65.001434,-172.225159,-0.058302,-0.054907,-0.168035,0.003586,-0.151123,-1.000488,0.285496,1455415915.303076
69.379227,-63.074173,-171.039734,0.038480,-0.388385,-0.226391,0.044678,-0.147278,-1.064438,0.285547,1455415915.362876
69.552673,-62.898956,-171.209076,0.031900,-0.187259,-0.098647,0.020981,-0.065308,-1.138550,0.285766,1455415915.432001
68.165085,-62.898956,-173.241226,0.211851,0.222509,-0.040964,0.030411,-0.059021,-1.176437,0.285964,1455415915.502797
67.471298,-63.249374,-170.870377,-0.018179,0.423594,0.111920,0.086868,-0.150803,-0.999161,0.286175,1455415915.562769
66.777512,-61.847733,-170.870377,0.192055,0.498174,0.298812,0.076797,0.200256,-1.163025,0.286611,1455415915.632702
67.991638,-63.424576,-168.668884,0.580685,0.188378,0.306670,0.095840,-0.100937,-0.773895,0.286847,1455415915.702739
66.950958,-62.723755,-169.346268,-0.381706,0.025942,0.507625,0.050583,-0.098816,-0.733337,0.288303,1455415915.762957
67.124405,-61.497314,-169.515610,-0.156040,0.231945,0.216680,0.085098,-0.009323,-0.888565,0.288786,1455415915.832698
66.777512,-62.898956,-170.870377,-0.330064,-0.054963,0.153414,0.119736,-0.128967,-0.899887,0.288583,1455415915.902969
66.083710,-62.548553,-170.531693,-0.244692,-0.068296,0.108547,0.097214,-0.135529,-0.977997,0.288485,1455415915.962860
66.257156,-62.022934,-170.023651,0.335691,-0.062799,-0.008287,0.068253,-0.164124,-1.108322,0.287481,1455415916.032694
66.950958,-60.971695,-169.007568,0.364033,-0.220787,-0.170639,0.013794,-0.101944,-1.208206,0.286348,1455415916.102798
67.124405,-61.146896,-169.176926,-0.381116,-0.320785,-0.344575,0.022888,-0.125443,-1.128220,0.286126,1455415916.162808
65.910263,-59.570053,-169.346268,0.504166,0.514612,-0.250842,-0.145905,0.041626,-1.056931,0.285816,1455415916.232704
65.563370,-57.817993,-169.346268,-0.173340,-0.175729,-0.566928,-0.139389,-0.058868,-0.875595,0.285677,1455415916.292671
66.430603,-57.642776,-170.531693,-0.009999,-0.026176,-0.448212,0.016891,0.082535,-0.860931,0.285982,1455415916.362967
67.991638,-56.416336,-169.007568,0.213844,0.057291,-0.353680,0.020172,-0.074509,-0.737915,0.286269,1455415916.432706
67.644745,-55.014694,-169.346268,-0.163720,-0.042394,-0.261718,0.045731,-0.088379,-0.865540,0.286580,1455415916.502808
67.297852,-55.014694,-169.684952,-0.220602,-0.309200,-0.096909,0.062347,-0.101639,-0.982986,0.286473,1455415916.562834
68.511993,-52.386597,-168.160843,-0.295722,0.015900,0.153162,0.073196,-0.090591,-1.132706,0.286051,1455415916.632696
69.726120,-53.262634,-167.991501,-0.910765,-0.403648,0.127744,0.046707,0.107910,-1.334290,0.285597,1455415916.702815
67.471298,-51.335373,-170.192993,-0.384783,-0.240444,0.114446,-0.142776,0.448227,-1.308365,0.284664,1455415916.762842
69.379227,-50.108932,-168.668884,0.960767,0.592959,-0.154775,0.120880,-0.088425,-0.744751,0.283859,1455415916.832713
70.073013,-50.108932,-170.023651,-0.672644,-0.437857,0.713300,0.126740,0.013062,-0.834930,0.285973,1455415916.902893
